Fecha;Descripción;Origen;Débitos;Créditos;Saldo,,
;SALDO AL INICIO DEL 03-11-14;;0;0;81904,82,
31/10/2014;COM. OPERACIONES ENTRE CASAS EFECTI;;26,45;0;81878,37
31/10/2014;IVA;;5,55;0;81872,82
31/10/2014;IMP.DEB.LEY 25413 - ALICUOTA GENERA;;0,19;0;81872,63
03/11/2014;TRANSFERENCIA ELECTRONICA;A041;0;24966,25;106838,88
;CUENTA ORIGEN;;0;0;0,,
;CTA CTE PESOS;;0;0;0,,
";=""1911510000067"";;0;0;0",,
03/11/2014;COMISION MANTENIMIENTO DE CUENTA;;231;0;106607,88,
03/11/2014;COMISION CARGOS POR MOVIMIENTOS;;43,24;0;106564,64
03/11/2014;EMISION Y PROCESAMIENTO DE EXTRACTO;;27,81;0;106536,83
03/11/2014;IVA;;63,43;0;106473,4
03/11/2014;ING.BRUTOS S/CRED.CTAS.BANCARIAS;;324,56;0;106148,84
;REG.RECAU.SIRCREB;;0;0;0,,
03/11/2014;IMP.DEB.LEY 25413 - ALICUOTA GENERA;;4,14;0;106144,7
03/11/2014;IMP.CREDITO LEY 25413-ALIC.GRAL.;;149,8;0;105994,9
05/11/2014;CHEQUE GALICIA NRO. 655503;;2662;0;103332,9,
05/11/2014;IMP.DEB.LEY 25413 - ALICUOTA GENERA;;15,97;0;103316,93
07/11/2014;TRANSF. DE FONDOS-INTERNET BANKING;;87000;0;16316,93,
;GO 0028802918;;0;0;0,,
;CUIT 30708425067;;0;0;0,,
;FAC0811;;0;0;0,,
07/11/2014;TRANSFERENCIAS MEP (EX4090);;0;3693,98;20010,91
;VARIOS;;0;0;0,,
07/11/2014;COMISION TRANSFERENCIA ENVIADA BCRA;;1;0;20009,91,
07/11/2014;IVA;;0,21;0;20009,7
07/11/2014;ING.BRUTOS S/CRED.CTAS.BANCARIAS;;48,02;0;19961,68
;REG.RECAU.SIRCREB;;0;0;0,,
07/11/2014;IMP.DEB.LEY 25413 - ALICUOTA GENERA;;522,3;0;19439,38
07/11/2014;IMP.CREDITO LEY 25413-ALIC.GRAL.;;22,16;0;19417,22
11/11/2014;DEP. EFECTIVO TASI TK: 10829;;0;2000;21417,22,
11/11/2014;CHEQUE 48 HS. NRO. 655501;;20914,25;0;502,97
11/11/2014;ING.BRUTOS S/CRED.CTAS.BANCARIAS;;26;0;476,97,
;REG.RECAU.SIRCREB;;0;0;0,,
11/11/2014;IMP.DEB.LEY 25413 - ALICUOTA GENERA;;125,64;0;351,33
11/11/2014;IMP.CREDITO LEY 25413-ALIC.GRAL.;;12;0;339,33,
12/11/2014;COM.SOBREGIRO VALORES CONFORMES;;8,98;0;330,35
12/11/2014;IVA;;1,89;0;328,46
12/11/2014;IMP.DEB.LEY 25413 - ALICUOTA GENERA;;0,07;0;328,39
18/11/2014;TRANSF. DE FONDOS-INTERNET BANKING;;0;1276,55;1604,94
;GO 0028984901;;0;0;0,,
;CUIT 30670288478;;0;0;0,,
;FACnº 20169;;0;0;0,,
18/11/2014;ING.BRUTOS S/CRED.CTAS.BANCARIAS;;16,6;0;1588,34
;REG.RECAU.SIRCREB;;0;0;0,,
