Fecha,Concepto,Importe
10-11-2014,62502-CHEQUE CAMARA            ,-10000
10-11-2014,62516-CHEQUE PAGADO POR CAJA   ,-10000
10-11-2014,0-PAGO AFIP                ,-1198.98
10-11-2014,0-PAGOSERVPUBL-CELUL-SUBE  ,-94.89
10-11-2014,0-PAGOSERVPUBL-CELUL-SUBE  ,-707.03
10-11-2014,0-PAGOSERVPUBL-CELUL-SUBE  ,-313.24
10-11-2014,0-PAGOSERVPUBL-CELUL-SUBE  ,-573.91
10-11-2014,0-PAGOSERVPUBL-CELUL-SUBE  ,-795.77
10-11-2014,87885-IMP. L.25413-DEB Y/O CRED,-142.07
11-11-2014,62518-CHEQUE PAGADO POR CAJA   ,-5000
11-11-2014,0-PAGOSERVPUBL-CELUL-SUBE  ,-753.52
11-11-2014,43694-IMP. L.25413-DEB Y/O CRED,-34.52
17-11-2014,0-COMISION CHEQUERA        ,-48
17-11-2014,32031-IMP. L.25413-DEB Y/O CRED,-0.28
17-11-2014,59377-IMP. L.25413-DEB Y/O CRED,-0.06
17-11-2014,41063-IVA DEBITO FISCAL 21%    ,-10.08
18-11-2014,26846-CHEQ.CANJE INT.NACIONAL  ,-37250
18-11-2014,0-GASTOS DE INFORMES       ,-3.3
18-11-2014,0-GASTOS DE INFORMES       ,-3.3
18-11-2014,40541-IMP. L.25413-DEB Y/O CRED,-223.52
18-11-2014,15139-IVA DEBITO FISCAL 21%    ,-0.69
18-11-2014,15122-IVA DEBITO FISCAL 21%    ,-0.69
20-11-2014,26851-CHEQ.CANJE INT.NACIONAL  ,-36300
