Fecha,Concepto,Importe
21-11-2014,33959430-CHEQUE P/CAMARA,-30000
21-11-2014,34866586-CHEQUE P/CAMARA,-2795.1
21-11-2014,34866587-CHEQUE P/CAMARA,-8600
21-11-2014,36438487-CHEQUE P/CAMARA,-15000
21-11-2014,36438491-CHEQUE P/CAMARA,-3694.85
21-11-2014,697216-TRF INTERB MTIT AC ONLINE C-C,-4000
21-11-2014,1932726096-DBCR 25413 S/DB TASA GRAL,-360.54
26-11-2014,34866558-CHEQUE P/CAMARA,-21300
26-11-2014,37260513-CHEQUE P/CAMARA,-30000
26-11-2014,34163447-CHEQUE CANJE INTERNO,-2500
26-11-2014,34866565-CHEQUE CANJE INTERNO,-21000
26-11-2014,70130-TRF INTERB MTIT AC ONLINE C-C,-40000
26-11-2014,147875-EASY TRELEW(VISA DEBIT,-1765.31
26-11-2014,1932967433-DBCR 25413 S/DB TASA GRAL,-459.39
27-11-2014,1905974643-MANTENIMIENTO MENSUAL PAQUETE,-310
27-11-2014,1905974643-  DEBITO FISCAL IVA BASICO,-65.1
27-11-2014,34866568-CHEQUE P/CAMARA,-3950
27-11-2014,34866585-CHEQUE P/CAMARA,-2904
27-11-2014,36438489-CHEQUE P/CAMARA,-9500
